Formula 1
Genetic Run 1: Time=0.9916 seconds, Flips=81
Genetic Run 2: Time=0.9958 seconds, Flips=82
Genetic Run 3: Time=0.9777 seconds, Flips=81
Genetic Run 4: Time=1.0407 seconds, Flips=82
Genetic Run 5: Time=1.0517 seconds, Flips=83
Genetic Run 6: Time=0.9855 seconds, Flips=83
Genetic Run 7: Time=1.0206 seconds, Flips=81
Genetic Run 8: Time=1.0156 seconds, Flips=82
Genetic Run 9: Time=1.0096 seconds, Flips=82
Genetic Run 10: Time=1.0099 seconds, Flips=82

Formula 16
DPLL: Time=0.0055 seconds, Nodes expanded=37
WalkSAT Run 1: Time=0.3593 seconds, Max satisfied=80
WalkSAT Run 2: Time=0.3573 seconds, Max satisfied=80
WalkSAT Run 3: Time=0.3616 seconds, Max satisfied=81
WalkSAT Run 4: Time=0.3668 seconds, Max satisfied=80
WalkSAT Run 5: Time=0.3614 seconds, Max satisfied=81
WalkSAT Run 6: Time=0.3489 seconds, Max satisfied=80
WalkSAT Run 7: Time=0.3462 seconds, Max satisfied=80
WalkSAT Run 8: Time=0.3529 seconds, Max satisfied=80
WalkSAT Run 9: Time=0.3528 seconds, Max satisfied=81
WalkSAT Run 10: Time=0.3498 seconds, Max satisfied=80
Genetic Run 1: Time=1.0584 seconds, Flips=82
Genetic Run 2: Time=1.0049 seconds, Flips=81
Genetic Run 3: Time=1.0466 seconds, Flips=81
Genetic Run 4: Time=1.0213 seconds, Flips=81
Genetic Run 5: Time=1.0173 seconds, Flips=82
Genetic Run 6: Time=1.0166 seconds, Flips=82
Genetic Run 7: Time=1.0174 seconds, Flips=81
Genetic Run 8: Time=1.0273 seconds, Flips=83
Genetic Run 9: Time=1.0308 seconds, Flips=83
Genetic Run 10: Time=1.0124 seconds, Flips=82

Formula 17
DPLL: Time=0.0042 seconds, Nodes expanded=15
WalkSAT Run 1: Time=0.6764 seconds, Max satisfied=161
WalkSAT Run 2: Time=0.6960 seconds, Max satisfied=161
WalkSAT Run 3: Time=0.6745 seconds, Max satisfied=164
WalkSAT Run 4: Time=0.6858 seconds, Max satisfied=164
WalkSAT Run 5: Time=0.6899 seconds, Max satisfied=162
WalkSAT Run 6: Time=0.6816 seconds, Max satisfied=161
WalkSAT Run 7: Time=0.6728 seconds, Max satisfied=165
WalkSAT Run 8: Time=0.6876 seconds, Max satisfied=162
